IDENT,LATITUDE,LONGITUDE 
ABTOM,03° 10' 23.82" N,101° 16' 43.18" E
ADGAB,3° 5' 44.00" N,112° 36' 2.00" E
ADNUT,3° 21' 33.00" N,102° 37' 38.00" E
ADPAX,1° 44' 0.50" N,103° 15' 37.60" E
AGOBA,1° 58' 42.00" N,108° 30' 0.00" E
AGOSA,3° 8' 41.00" N,101° 13' 9.00" E
AGPOP,2° 10' 41.00" N,111° 13' 25.00" E
AGUPO,4° 35' 37.00" N,112° 52' 0.00" E
AKOMA,1° 45' 22.00" N,103° 54' 43.00" E
ALEKA,2° 30' 59.20" N,112° 40' 3.00" E
ALEMO,2° 45' 45.00" N,113° 34' 20.00" E
ALFA,1° 30' 33.00" N,103° 49' 42.00" E
ANDOK,6° 1' 20.00" N,100° 0' 0.00" E
ANIPU,1° 1' 42.00" N,111° 27' 25.00" E
ANIRU,5° 9' 11.00" N,113° 3' 26.00" E
ANOKO,7° 8' 18.90" N,94° 24' 48.56" E
ANSAX,6° 0' 0.00" N,95° 30' 29.00" E
ANSOM,4° 4' 24.00" N,101° 32' 19.00" E
ARAMA,1° 36' 54.00" N,103° 7' 12.00" E
ARAVI,5° 35' 55.00" N,117° 6' 49.00" E
ASISU,5° 59' 6.00" N,113° 20' 46.00" E
BATAR,2° 10' 0.00" N,102° 5' 13.00" E
BIKTA,2° 43' 37.00" N,103° 43' 8.00" E
BILIK,3° 20' 43.00" N,101° 7' 39.00" E
BOMPO,4° 51' 0.00" N,112° 57' 9.00" E
BONSU,1° 19' 28.00" N,103° 37' 10.00" E
BUNTO,2° 40' 8.00" N,105° 59' 53.00" E
BUTAX,4° 26' 13.00" N,114° 52' 32.00" E
CE014,03° 09' 46.44" N,101° 31' 48.72" E
CE076,03° 15' 06.60" N,101° 28' 36.19" E
DAKUS,3° 48' 14.00" N,101° 19' 3.00" E
DALAN,6° 28' 8.00" N,99° 39' 20.00" E
DAMAL,2° 19' 55.00" N,103° 5' 12.00" E
DARMU,4° 1' 39.00" N,112° 40' 36.00" E
DOGOG,5° 25' 18.00" N,114° 7' 42.00" E
DOSIK,1° 45' 52.00" N,102° 2' 37.00" E
DUKUN,7° 38' 56.00" N,97° 31' 9.00" E
DUMAS,02° 40' 00.00" N,101° 25' 36.00" E
DUMOK,02° 18' 10.00" N,102° 00' 07.00" E
ENKOL,2° 22' 22.37" N,102° 18' 16.00" E
GEMAS,2° 31' 60.00" N,102° 31' 50.00" E
GIVAL,7° 0' 0.00" N,98° 0' 0.00" E
GOBAS,3° 21' 23.00" N,100° 57' 22.00" E
GOLUD,6° 17' 6.00" N,102° 16' 39.00" E
GOMAT,5° 57' 12.00" N,99° 56' 20.00" E
GONAD,2° 51' 37.80" N,112° 5' 20.90" E
GUNBO,4° 51' 56.16" N,102° 49' 53.45" E
GUNIP,4° 29' 53.00" N,99° 31' 50.00" E
GUPTA,2° 9' 46.00" N,102° 38' 30.00" E
IDKUT,8° 0' 17.00" N,95° 30' 17.00" E
IDSEL,3° 24' 30.00" N,103° 55' 18.00" E
IGEBO,6° 14' 9.00" N,95° 4' 51.00" E
IGOGU,7° 31' 1.00" N,94° 25' 0.00" E
IGREX,9° 43' 28.00" N,94° 25' 0.00" E
IKL14,03° 05' 58.56" N,101° 34' 01.92" E
INTOT,3° 0' 23.00" N,101° 8' 7.00" E
IRMEN,4° 40' 8.00" N,117° 6' 55.00" E
ISMAS,05° 43' 59.00" N,100° 02' 37.00" E
ISTAN,3° 0' 52.00" N,102° 28' 46.00" E
KABDU,6° 33' 22.00" N,116° 33' 12.00" E
KADMO,4° 12' 15.00" N,114° 8' 8.00" E
KAMIN,2° 34' 42.00" N,108° 55' 36.00" E
KAMUM,1° 33' 35.00" N,111° 19' 15.00" E
KARMI,6° 29' 49.90" N,100° 31' 6.40" E
KASRI,2° 3' 17.00" N,102° 53' 13.00" E
KETOD,3° 10' 42.00" N,104° 9' 42.00" E
KEVOX,3° 26' 24.00" N,113° 35' 50.00" E
KIBOL,2° 52' 24.00" N,104° 28' 18.00" E
KIMAT,3° 9' 44.00" N,102° 21' 2.00" E
KL023,03° 04' 36.54" N,101° 34' 51.50" E
KL043,03° 02' 53.30" N,101° 35' 53.44" E
KL063,03° 06' 19.08" N,101° 33' 48.96" E
KUDAT,6° 54' 30.00" N,116° 50' 0.02" E
LATIL,4° 53' 40.00" N,116° 26' 49.00" E
LATUK,2° 55' 16.00" N,102° 33' 46.00" E
LEDAM,4° 51' 49.00" N,113° 47' 6.00" E
LEKIR,7° 16' 32.00" N,96° 52' 43.00" E
LELIB,1° 27' 29.00" N,103° 24' 50.00" E
LENDA,2° 41' 24.00" N,104° 39' 30.00" E
LUNTU,05° 41' 36.00" N,100° 19' 20.00" E
MANIM,3° 14' 30.00" N,104° 5' 54.00" E
MAPSO,8° 3' 30.00" N,97° 12' 56.00" E
MASNI,1° 20' 37.00" N,103° 37' 46.00" E
MATSU,3° 26' 14.00" N,102° 6' 14.00" E
MEKAR,6° 30' 14.00" N,96° 29' 28.00" E
MINAT,8° 46' 18.00" N,96° 1' 31.00" E
NILAM,6° 45' 23.00" N,95° 58' 35.00" E
NIVAM,2° 36' 50.00" N,104° 2' 28.00" E
NOPEK,6° 36' 14.00" N,94° 25' 0.00" E
NURLA,04° 49' 08.00" N,100° 28' 03.00" E
OGAKO,1° 58' 50.00" N,102° 26' 8.00" E
OKTOG,2° 3' 49.00" N,109° 35' 1.00" E
OSANU,07° 41' 24.00" N,117° 17' 36.00" E
OSTAN,5° 26' 45.00" N,116° 38' 24.00" E
PADLI,3° 9' 18.00" N,103° 31' 33.00" E
PADLO,5° 57' 52.30" N,114° 1' 26.50" E
PAPDA,5° 49' 30.00" N,100° 45' 18.00" E
