IDENT,LATITUDE,LONGITUDE 
ABLBG,13° 50' 36.97" N,120° 06' 49.38" E
ABMBS,14° 58' 41.44" N,120° 29' 20.03" E
AGVAR,19° 24' 50.78" N,120° 37' 42.47" E
AKOTA,16° 27' 43.30" N,117° 12' 24.30" E
ALDIN,9° 7' 1.19" N,123° 18' 3.87" E
ALDIS,18° 35' 52.44" N,119° 39' 49.00" E
ALPAS,15° 29' 10.66" N,120° 43' 52.25" E
AMRON,9° 50' 16.44" N,119° 4' 34.39" E
ANIMU,5° 44' 50.43" N,125° 7' 59.07" E
ANKUR,6° 39' 29.10" N,121° 0' 4.99" E
ARESI,13° 58' 24.00" N,114° 27' 0.00" E
ARITA,14° 55' 28.04" N,120° 23' 52.81" E
AROLA,9° 36' 0.54" N,123° 34' 40.20" E
ARTEM,8° 33' 45.11" N,124° 38' 35.57" E
ASOBA,17° 22' 18.16" N,114° 34' 17.18" E
ASTUR,10° 37' 3.23" N,123° 41' 51.26" E
ATBUD,15° 54' 1.87" N,114° 37' 4.05" E
ATRIA,11° 21' 51.09" N,122° 58' 47.63" E
AVMUP,17° 59' 36.05" N,118° 57' 31.08" E
BABAN,15° 30' 48.21" N,120° 28' 27.95" E
BACON,9° 44' 58.81" N,124° 36' 45.44" E
BAHAR,04° 00' 00.00" N,132° 30' 00.00" E
BALAY,13° 54' 9.65" N,120° 43' 42.05" E
BALIN,8° 47' 41.86" N,124° 47' 13.93" E
BALOD,10° 57' 11.49" N,124° 42' 35.62" E
BANGA,6° 24' 4.55" N,124° 49' 45.40" E
BANGI,14° 42' 30.80" N,121° 22' 44.98" E
BANOS,14° 14' 2.79" N,121° 13' 9.38" E
BANWA,10° 49' 17.86" N,125° 6' 34.14" E
BARAS,11° 4' 41.76" N,125° 25' 12.88" E
BARBA,11° 3' 40.57" N,122° 16' 44.26" E
BATAN,14° 39' 36.91" N,120° 33' 33.49" E
BATAY,11° 8' 19.30" N,123° 50' 43.12" E
BAYAN,14° 49' 52.81" N,120° 39' 20.51" E
BEDIP,17° 32' 34.96" N,123° 37' 31.48" E
BETEL,14° 10' 38.14" N,120° 10' 46.07" E
BIDOR,4° 0' 0.00" N,131° 30' 0.00" E
BIGBI,15° 30' 40.55" N,120° 22' 43.36" E
BISIG,21° 0' 16.31" N,125° 15' 53.99" E
BOHOL,9° 34' 18.05" N,124° 22' 46.57" E
BORGA,14° 22' 59.75" N,120° 42' 10.56" E
BUCAL,13° 35' 59.60" N,120° 34' 56.02" E
BUNGA,11° 20' 25.19" N,122° 54' 22.71" E
BURCO,7° 20' 26.95" N,122° 6' 5.46" E
BURIA,5° 39' 36.76" N,125° 8' 38.15" E
CABRE,9° 54' 36.45" N,119° 19' 7.68" E
CADIZ,11° 1' 0.53" N,123° 18' 52.11" E
CALDO,14° 33' 37.50" N,119° 19' 57.24" E
CAMBA,14° 19' 26.62" N,121° 14' 57.43" E
CARLO,10° 37' 54.89" N,123° 19' 19.20" E
CGO01,08° 26' 52.23" N,124° 37' 06.75" E
CGO04,08° 20' 59.64" N,124° 35' 46.68" E
CGO05,08° 20' 53.76" N,124° 35' 45.34" E
CGO07,08° 30' 54.82" N,124° 31' 08.79" E
CGO14,08° 17' 07.93" N,124° 42' 53.81" E
CGO15,08° 34' 38.75" N,124° 39' 09.70" E
CGO18,08° 28' 21.19" N,124° 33' 34.19" E
CGO19,08° 21' 01.52" N,124° 35' 38.48" E
CGO22,08° 27' 05.69" N,124° 37' 02.91" E
CGO23,08° 26' 24.11" N,124° 37' 00.29" E
CGO30,08° 28' 51.39" N,124° 34' 16.71" E
CGO42,08° 29' 14.46" N,124° 35' 08.75" E
CGO53,08° 32' 37.19" N,124° 35' 36.12" E
CGO67,08° 31' 37.35" N,124° 35' 43.50" E
CGO68,08° 15' 06.80" N,124° 38' 38.77" E
CGO75,08° 31' 29.77" N,124° 38' 09.96" E
CGO93,08° 32' 28.75" N,124° 38' 17.85" E
CGO98,08° 15' 23.13" N,124° 33' 25.95" E
CIA02,15° 09' 52.34" N,120° 33' 16.24" E
CIA07,15° 18' 25.16" N,120° 36' 33.99" E
CIA08,15° 03' 05.43" N,120° 30' 40.59" E
CIA09,15° 02' 34.34" N,120° 33' 28.96" E
CIA16,15° 08' 59.79" N,120° 41' 35.32" E
CIA47,15° 02' 47.39" N,120° 39' 15.97" E
CIA57,15° 13' 56.84" N,120° 37' 58.50" E
CIA66,15° 01' 28.13" N,120° 36' 08.26" E
CIA80,15° 12' 40.93" N,120° 34' 20.06" E
CIA90,15° 18' 14.16" N,120° 39' 29.88" E
COBOL,9° 28' 41.48" N,124° 2' 49.14" E
COGEL,6° 48' 46.97" N,122° 27' 33.19" E
CONDE,13° 41' 9.30" N,121° 36' 46.43" E
CURIM,18° 0' 45.17" N,120° 30' 33.59" E
DABGI,14° 10' 40.33" N,114° 40' 22.12" E
DADNU,17° 50' 10.19" N,122° 13' 49.87" E
DAHOY,9° 56' 33.67" N,124° 11' 3.01" E
DAO01,07° 08' 34.51" N,125° 40' 01.45" E
DAO10,07° 06' 30.60" N,125° 37' 29.78" E
DAO11,07° 08' 32.82" N,125° 39' 59.17" E
DAO22,07° 06' 27.22" N,125° 37' 32.61" E
DAO48,07° 11' 54.50" N,125° 43' 43.48" E
DAO50,07° 04' 38.71" N,125° 35' 23.17" E
DAO59,07° 11' 44.49" N,125° 43' 48.41" E
DAO60,07° 11' 46.33" N,125° 43' 50.61" E
DAO77,07° 02' 57.51" N,125° 33' 15.48" E
DAO78,07° 02' 50.18" N,125° 33' 13.75" E
DARAG,11° 34' 51.14" N,124° 47' 29.79" E
DAYAN,5° 54' 47.33" N,125° 6' 53.99" E
DELOR,10° 44' 20.57" N,123° 15' 33.78" E
DEMSA,18° 24' 22.92" N,120° 3' 38.42" E
DIAMO,8° 46' 43.28" N,124° 23' 58.73" E
DILAN,14° 29' 25.88" N,120° 45' 52.74" E
DILIS,14° 31' 7.09" N,126° 0' 5.11" E
DIMLO,9° 31' 2.89" N,124° 14' 58.57" E
DIPID,17° 41' 4.49" N,120° 37' 15.36" E
DIXON,15° 06' 54.51" N,120° 17' 15.15" E
DODUG,11° 57' 3.01" N,114° 44' 33.80" E
DOHER,14° 18' 26.12" N,120° 44' 48.59" E
DOSUS,14° 24' 4.07" N,119° 30' 28.47" E
EDCON,10° 11' 42.54" N,123° 52' 7.61" E
EDLOR,6° 52' 1.98" N,125° 51' 36.83" E
EMPUL,13° 59' 42.01" N,114° 40' 42.96" E
ENDAX,14° 15' 0.00" N,130° 0' 0.00" E
ESCAN,15° 41' 6.61" N,120° 40' 23.26" E
EXORA,14° 3' 34.90" N,119° 52' 56.76" E
FLORA,6° 54' 15.03" N,122° 15' 23.94" E
FONSO,15° 4' 52.80" N,120° 57' 5.41" E
