IDENT,LATITUDE,LONGITUDE 
ABVON,1° 20' 28.00" N,103° 58' 27.00" E
ADNIK,1° 16' 51.00" N,103° 56' 55.00" E
AKIPO,1° 13' 56.00" N,103° 55' 41.00" E
AKTOD,0° 24' 48.00" S,105° 59' 35.00" E
ANBUS,1° 15' 56.00" N,103° 21' 2.00" E
ANUMA,1° 10' 53.00" N,103° 54' 24.00" E
APIPA,1° 6' 18.00" N,103° 52' 28.00" E
ASUNA,0° 59' 48.00" N,103° 9' 54.00" E
ATETI,1° 25' 40.00" N,108° 30' 0.00" E
ATVIX,0° 2' 24.00" N,106° 14' 53.00" E
BAVAL,0° 45' 18.00" N,104° 2' 42.00" E
BIDAG,7° 31' 1.00" N,113° 55' 44.00" E
BILIS,05° 08' 42.00" N,112° 15' 22.00" E
BOBAG,1° 2' 30.00" N,103° 29' 54.00" E
BOBOB,2° 22' 6.00" N,107° 5' 58.00" E
BOKIP,1° 4' 21.00" N,103° 43' 53.00" E
BUVAL,3° 36' 22.00" N,103° 43' 41.00" E
DAMOG,4° 12' 25.00" N,105° 0' 14.00" E
DOLOX,4° 48' 41.00" N,105° 22' 47.00" E
DOVOL,3° 30' 47.00" N,103° 49' 23.00" E
DUBSA,3° 49' 1.00" N,104° 45' 40.00" E
EGOLO,3° 19' 34.00" N,104° 0' 47.00" E
ELGOR,3° 30' 14.00" N,105° 48' 18.00" E
ENREP,4° 52' 23.00" N,104° 14' 42.00" E
ESLUX,1° 18' 44.00" N,103° 58' 40.00" E
ESPIT,2° 0' 11.00" N,107° 26' 24.00" E
EXOMO,1° 4' 25.00" N,104° 9' 33.00" E
GOBIK,0° 0' 0.00" N,108° 6' 6.00" E
HOSBA,1° 19' 48.00" N,104° 24' 18.00" E
IDMAS,0° 49' 0.00" N,104° 18' 48.00" E
IDUNA,1° 23' 5.00" N,103° 59' 33.00" E
IDURO,1° 26' 39.00" N,104° 1' 3.00" E
IDVAS,1° 29' 34.00" N,104° 2' 17.00" E
IGARI,6° 56' 10.00" N,103° 35' 6.00" E
IGULA,1° 32' 32.00" N,104° 3' 32.00" E
IKUKO,5° 45' 12.00" N,103° 13' 24.00" E
