IDENT,LATITUDE,LONGITUDE 
ABTOK,6° 18' 18.00" N,102° 17' 44.00" E
ADNEP,8° 3' 43.50" N,101° 3' 18.20" E
AGEDO,13° 24' 19.40" N,102° 21' 38.60" E
AKATO,13° 37' 15.53" N,99° 10' 19.19" E
ALBOS,14° 44' 41.74" N,101° 1' 41.91" E
ALUMO,10° 45' 53.89" N,101° 51' 22.86" E
ANNDY,15° 41' 11.92" N,100° 17' 48.20" E
ANNIE,14° 3' 19.60" N,100° 12' 17.14" E
ANOBO,11° 3' 23.00" N,102° 14' 41.61" E
APRIL,11° 0' 0.00" N,99° 43' 18.00" E
ATVUT,10° 38' 1.65" N,102° 22' 58.00" E
BARKY,15° 22' 28.82" N,100° 17' 24.22" E
BASIT,9° 34' 47.46" N,102° 21' 8.00" E
BATOK,13° 56' 6.00" N,101° 53' 53.60" E
BEKOD,16° 21' 17.22" N,99° 46' 36.38" E
BETTY,14° 42' 45.44" N,100° 38' 25.06" E
BIDEM,14° 21' 53.57" N,103° 47' 50.07" E
BKK02,13° 51' 51.39" N,100° 34' 46.50" E
BKK05,13° 49' 23.92" N,100° 32' 58.25" E
BKK08,14° 0' 21.34" N,100° 40' 15.38" E
BKK12,14° 4' 14.46" N,100° 41' 48.44" E
BKK15,13° 46' 4.17" N,100° 22' 24.87" E
BKK25,13° 51' 53.63" N,100° 30' 56.31" E
BKK51,13° 48' 27.21" N,100° 21' 17.14" E
BKK61,13° 59' 38.36" N,100° 39' 8.72" E
BKK99,13° 56' 26.43" N,100° 37' 25.18" E
BOKAK,12° 57' 36.31" N,102° 29' 47.35" E
BOMAS,17° 23' 4.82" N,98° 5' 49.08" E
BORNA,7° 54' 9.60" N,98° 45' 46.63" E
BRUCE,13° 33' 46.67" N,100° 34' 46.51" E
BUT01,12° 54' 29.99" N,101° 2' 7.47" E
BUT05,12° 54' 37.44" N,101° 1' 5.72" E
BUT07,12° 33' 16.20" N,101° 1' 59.16" E
BUT08,12° 42' 37.76" N,101° 14' 25.21" E
BUT10,12° 49' 32.18" N,101° 1' 19.36" E
BUT11,12° 51' 31.30" N,101° 1' 38.60" E
BUT13,12° 54' 18.33" N,101° 3' 8.55" E
BUT15,12° 38' 36.20" N,100° 59' 56.05" E
BUT16,12° 42' 58.59" N,101° 16' 26.22" E
BUT17,12° 33' 5.77" N,101° 0' 25.48" E
BUT21,12° 48' 36.00" N,101° 0' 57.60" E
BUT22,12° 45' 37.13" N,101° 0' 42.16" E
BUT34,13° 4' 0.07" N,100° 51' 52.80" E
BUT50,12° 45' 4.14" N,101° 0' 36.08" E
CANDY,14° 21' 4.34" N,101° 17' 37.13" E
CHAMA,17° 3' 3.54" N,100° 6' 6.51" E
CHARY,15° 10' 32.63" N,100° 16' 52.05" E
CHRIS,13° 56' 26.98" N,100° 10' 8.39" E
CMA06,18° 50' 54.24" N,99° 1' 18.42" E
CMA11,18° 55' 1.02" N,99° 4' 20.14" E
CMA12,18° 33' 54.73" N,98° 57' 40.55" E
CMA16,18° 23' 2.06" N,99° 5' 28.78" E
CMA24,18° 25' 44.30" N,99° 11' 26.02" E
CMA25,19° 6' 31.73" N,99° 12' 49.74" E
CORRY,8° 5' 50.59" N,97° 48' 9.05" E
CTR07,19° 50' 55.84" N,99° 49' 3.85" E
CTR08,19° 50' 55.74" N,99° 49' 26.08" E
CTR12,19° 45' 49.08" N,99° 45' 41.57" E
CTR18,19° 55' 21.65" N,99° 51' 59.34" E
CTR40,20° 0' 44.45" N,99° 56' 25.04" E
CTR45,19° 53' 3.64" N,99° 50' 28.20" E
CTR99,19° 45' 37.90" N,99° 46' 24.54" E
DAINO,17° 13' 18.05" N,102° 35' 58.75" E
DELTA,17° 20' 35.00" N,100° 56' 5.80" E
DIRAX,11° 0' 6.70" N,100° 32' 48.30" E
DONLO,16° 33' 10.14" N,100° 17' 28.70" E
DONNA,14° 6' 47.26" N,100° 43' 15.32" E
DUBAX,6° 25' 55.91" N,100° 7' 36.62" E
DUGON,8° 1' 24.77" N,102° 5' 48.57" E
EBONE,8° 7' 12.00" N,98° 25' 30.00" E
EMELA,10° 12' 49.19" N,101° 7' 29.14" E
FRANK,14° 5' 14.03" N,100° 19' 22.37" E
GOMES,13° 24' 6.14" N,101° 35' 5.73" E
GRANT,13° 51' 50.84" N,100° 51' 13.35" E
GRASO,15° 6' 50.28" N,103° 47' 16.84" E
HELEN,13° 36' 59.23" N,100° 52' 10.70" E
HELTY,16° 21' 7.18" N,100° 17' 28.70" E
HONEY,14° 13' 3.51" N,100° 58' 25.11" E
HOTEL,13° 0' 6.20" N,100° 19' 48.30" E
IDAGA,11° 0' 6.80" N,100° 53' 48.10" E
IKULA,10° 0' 6.90" N,97° 21' 14.00" E
JACKY,14° 58' 27.13" N,102° 10' 4.45" E
JASSY,14° 1' 3.76" N,100° 32' 41.35" E
KADAX,6° 16' 2.00" N,102° 15' 41.70" E
KOYAI,7° 10' 6.82" N,100° 23' 45.98" E
KPS01,14° 7' 43.01" N,99° 55' 52.74" E
KRT02,14° 57' 14.25" N,102° 7' 7.67" E
KRT03,14° 54' 22.17" N,102° 1' 49.73" E
KRT10,14° 51' 4.49" N,101° 55' 25.62" E
KRT11,14° 55' 0.22" N,102° 2' 45.60" E
KRT35,14° 51' 29.16" N,101° 57' 35.86" E
KRTT,14° 56' 05.94" N,102° 04' 22.11" E
LANNO,8° 21' 58.23" N,97° 52' 10.02" E
LUMPA,17° 4' 6.69" N,100° 7' 60.00" E
MACHI,19° 12' 22.30" N,98° 35' 6.70" E
MAILA,19° 32' 30.93" N,99° 34' 19.88" E
MAREE,6° 39' 3.90" N,101° 41' 11.55" E
MENAM,13° 57' 24.10" N,102° 47' 29.20" E
MENEX,11° 8' 30.70" N,99° 45' 42.60" E
MIYAA,14° 1' 8.74" N,100° 27' 29.79" E
MODON,8° 30' 19.85" N,98° 37' 25.92" E
MORIN,14° 21' 42.35" N,100° 41' 6.28" E
MOSTA,8° 34' 0.08" N,98° 5' 6.22" E
MUBAN,8° 54' 40.87" N,101° 29' 52.12" E
MUYOR,15° 23' 33.29" N,104° 40' 41.58" E
NAPAR,15° 5' 36.93" N,100° 15' 58.23" E
NARAT,6° 44' 27.55" N,101° 38' 58.37" E
NENAR,8° 55' 56.67" N,99° 24' 26.37" E
NISSA,17° 7' 1.56" N,102° 59' 4.12" E
NOBER,15° 16' 35.60" N,100° 40' 6.00" E
NORDY,17° 21' 39.07" N,103° 7' 21.64" E
NTW01,6° 32' 33.35" N,101° 45' 7.02" E
NTW02,6° 39' 48.66" N,101° 26' 20.05" E
NTW03,6° 27' 12.06" N,101° 42' 53.43" E
NTW04,6° 34' 54.49" N,101° 37' 21.58" E
NTW05,6° 36' 13.80" N,101° 46' 45.17" E
NTW06,6° 34' 5.44" N,101° 39' 11.82" E
NTW07,6° 24' 56.60" N,101° 42' 32.03" E
NTW08,6° 37' 32.54" N,101° 36' 34.70" E
NTW09,6° 36' 57.09" N,101° 32' 45.97" E
NTW10,6° 40' 49.35" N,101° 48' 47.91" E
NTW11,6° 40' 48.98" N,101° 40' 37.22" E
NTW12,6° 36' 32.57" N,101° 33' 41.10" E
NTW13,6° 43' 28.52" N,101° 39' 11.16" E
NTW14,6° 41' 23.60" N,101° 47' 8.46" E
NTW15,6° 33' 0.20" N,101° 44' 4.26" E
NTW20,6° 49' 50.96" N,101° 36' 12.65" E
NTW21,6° 49' 59.69" N,101° 36' 31.81" E
NTW29,6° 32' 15.05" N,101° 43' 19.82" E
NTW36,6° 44' 29.79" N,101° 38' 58.84" E
NTW42,6° 37' 26.51" N,101° 31' 39.82" E
NTW51,6° 20' 36.86" N,101° 49' 36.79" E
NTW56,6° 19' 52.76" N,101° 49' 56.41" E
NTW70,6° 24' 37.07" N,101° 41' 47.00" E
NTW94,6° 35' 43.54" N,101° 35' 31.34" E
NTW95,6° 18' 57.75" N,101° 42' 28.46" E
NTW96,6° 20' 29.44" N,101° 38' 16.57" E
NTW97,6° 36' 52.19" N,101° 32' 57.00" E
NTW98,6° 19' 42.60" N,101° 39' 55.80" E
NTW99,6° 20' 9.71" N,101° 40' 58.88" E
OKENA,16° 16' 8.19" N,104° 25' 32.57" E
OSITO,7° 51' 49.73" N,97° 52' 11.97" E
OSUKA,14° 42' 53.68" N,99° 42' 48.50" E
