IDENT,LATITUDE,LONGITUDE 
AGSAM,11° 28' 18.00" N,112° 35' 18.00" E
AKMON,8° 12' 54.00" N,110° 13' 6.00" E
ALDAS,10° 56' 54.00" N,112° 12' 18.00" E
ANINA,13° 59' 0.00" N,107° 25' 0.00" E
ANOKI,12° 22' 0.00" N,113° 15' 0.00" E
ANRAN,11° 21' 42.00" N,107° 02' 54.00" E
ASSAD,18° 20' 28.00" N,107° 40' 53.00" E
BALOV,20° 7' 47.00" N,107° 42' 31.00" E
BAOMY,10° 51' 48.00" N,107° 20' 18.00" E
BASON,10° 34' 28.80" N,106° 02' 42.00" E
BATEM,15° 55' 53.00" N,107° 45' 56.00" E
BAVEN,10° 4' 29.00" N,104° 35' 44.00" E
BIBAN,8° 30' 0.00" N,105° 0' 0.00" E
BITIS,10° 15' 59.00" N,106° 14' 54.00" E
BITOD,7° 15' 24.00" N,104° 7' 6.00" E
BOMPA,14° 20' 0.00" N,107° 24' 0.00" E
BUNTA,16° 50' 0.00" N,109° 23' 42.00" E
CAHEO,16° 32' 30.00" N,107° 57' 37.00" E
CAMPU,10° 30' 0.00" N,104° 8' 28.00" E
CUCHI,10° 53' 52.00" N,106° 27' 40.00" E
DAD06,15° 56' 01.99" N,108° 13' 02.23" E
DAD10,15° 52' 03.60" N,108° 13' 38.52" E
DAD75,15° 54' 32.63" N,108° 13' 15.84" E
DAGAG,9° 27' 48.00" N,108° 26' 30.00" E
DAMEL,13° 58' 42.00" N,111° 30' 36.00" E
DAMVO,11° 6' 30.00" N,109° 32' 42.00" E
DAN10,16° 13' 12.44" N,108° 11' 53.62" E
DAN14,16° 17' 13.44" N,108° 11' 53.62" E
DAN17,15° 46' 13.31" N,108° 14' 02.52" E
DAN48,15° 54' 38.93" N,108° 17' 23.56" E
DJ010,15° 53' 04.87" N,108° 16' 56.60" E
DJ011,15° 52' 16.63" N,108° 17' 35.47" E
DONDA,14° 42' 12.00" N,112° 1' 18.00" E
DONGI,17° 40' 53.00" N,106° 35' 43.00" E
DONXO,11° 25' 24.00" N,106° 57' 6.00" E
DOXAR,12° 22' 0.00" N,110° 22' 42.00" E
DUDIS,7° 0' 0.00" N,106° 48' 36.00" E
ELSAS,10° 8' 12.00" N,107° 32' 54.00" E
ESPOB,7° 0' 0.00" N,105° 33' 18.00" E
EXOTO,15° 21' 30.00" N,111° 3' 0.00" E
HAKAO,21° 43' 55.00" N,106° 16' 10.00" E
HALAN,21° 02' 07.37" N,105° 38' 44.99" E
HAMIN,17° 7' 47.00" N,107° 40' 40.00" E
HATIN,18° 28' 1.00" N,107° 2' 56.00" E
HUVAN,21° 12' 30.00" N,105° 6' 41.00" E
IPRIX,7° 0' 0.00" N,104° 7' 54.00" E
ITBAM,16° 40' 0.00" N,109° 36' 6.00" E
KANGU,16° 21' 15.00" N,108° 39' 53.00" E
KANTA,10° 23' 34.00" N,106° 5' 55.00" E
KAQUA,10° 40' 42.00" N,105° 58' 54.00" E
KARAN,12° 38' 56.00" N,109° 9' 24.00" E
KONCO,17° 0' 0.00" N,107° 11' 13.00" E
LANHI,10° 24' 02.00" N,107° 11' 10.00" E
LAOCI,22° 29' 12.00" N,103° 57' 55.00" E
LAPON,20° 45' 0.00" N,104° 28' 30.00" E
LATHA,10° 8' 18.00" N,106° 38' 1.00" E
LAVOS,20° 26' 5.00" N,104° 23' 50.00" E
LIBEO,21° 12' 45.38" N,105° 27' 37.21" E
LOSON,10° 29' 36.00" N,107° 4' 32.00" E
MAPNO,10° 13' 6.00" N,110° 20' 6.00" E
MAREL,19° 13' 41.00" N,106° 41' 37.00" E
MELAS,7° 5' 18.00" N,108° 9' 12.00" E
MEOVA,23° 6' 54.00" N,105° 18' 36.00" E
MESOX,13° 58' 48.00" N,113° 2' 42.00" E
MIGUG,15° 16' 24.00" N,114° 0' 0.00" E
MIMUX,11° 18' 18.00" N,111° 6' 12.00" E
MISAN,10° 30' 12.00" N,106° 02' 42.00" E
MONBO,14° 30' 00.00" N,113° 25' 42.00" E
MOXON,8° 49' 30.00" N,109° 21' 18.00" E
MUGAN,12° 22' 0.00" N,111° 52' 18.00" E
NAKHA,21° 58' 0.00" N,106° 29' 36.00" E
NHATA,12° 13' 35.00" N,109° 12' 4.00" E
NOB01,21° 12' 33.85" N,105° 50' 48.52" E
NOB02,21° 12' 09.58" N,105° 52' 08.00" E
NOB05,21° 14' 06.70" N,105° 44' 56.14" E
NOB07,21° 11' 04.44" N,105° 55' 41.62" E
NOB10,21° 09' 40.37" N,106° 00' 16.71" E
NOB11,21° 12' 46.54" N,106° 00' 48.38" E
NOB12,21° 22' 08.63" N,105° 58' 11.57" E
NOB15,21° 24' 29.00" N,106° 00' 13.18" E
NOB19,21° 06' 14.22" N,105° 30' 59.29" E
NOB20,21° 12' 05.12" N,105° 52' 06.26" E
NOB21,21° 12' 07.79" N,105° 52' 14.02" E
NOB22,21° 12' 03.38" N,105° 52' 12.40" E
NOB25,21° 08' 39.14" N,105° 38' 01.48" E
NOB50,21° 14' 13.26" N,105° 44' 58.16" E
NOB51,21° 14' 21.70" N,105° 44' 54.23" E
NOB98,21° 11' 05.77" N,106° 02' 49.25" E
R1880,10° 49' 29.39" N,106° 39' 47.41" E
R1881,16° 01' 49.32" N,108° 12' 08.50" E
R2150,21° 13' 30.98" N,105° 47' 33.28" E
SAMBO,16° 16' 49.00" N,108° 42' 28.00" E
SAMOG,8° 0' 6.00" N,103° 14' 24.00" E
SAPEN,11° 1' 12.00" N,106° 11' 0.00" E
TAHUA,15° 30' 54.00" N,108° 08' 58.00" E
TAMKY,15° 35' 42.00" N,108° 29' 43.00" E
TANAM,8° 30' 0.00" N,104° 2' 43.00" E
TEBAK,22° 10' 30.00" N,106° 40' 30.00" E
TONGA,21° 36' 52.93" N,105° 15' 48.71" E
TSN03,10° 47' 34.61" N,106° 34' 49.19" E
TSN04,10° 47' 36.68" N,106° 34' 54.92" E
TSN05,10° 47' 24.06" N,106° 33' 48.18" E
TSN09,10° 51' 46.78" N,106° 47' 26.36" E
TSN10,10° 45' 52.62" N,106° 29' 03.93" E
TSN11,10° 53' 53.35" N,106° 27' 35.07" E
TSN12,10° 40' 19.08" N,106° 49' 56.82" E
TSN13,10° 39' 02.30" N,106° 48' 47.30" E
TSN14,11° 00' 22.19" N,106° 47' 06.44" E
TSN15,10° 40' 27.59" N,106° 47' 21.16" E
TSN16,10° 38' 32.58" N,106° 25' 42.20" E
TSN17,10° 48' 27.47" N,106° 37' 05.43" E
TSN18,10° 36' 55.37" N,106° 38' 44.07" E
TSN19,10° 50' 12.38" N,106° 52' 54.44" E
TSN20,10° 52' 08.67" N,106° 52' 35.90" E
TSN21,10° 37' 27.34" N,106° 30' 34.47" E
TSN23,10° 49' 31.13" N,106° 40' 22.30" E
TSN24,10° 41' 56.71" N,106° 26' 24.65" E
TSN25,10° 42' 41.99" N,106° 27' 43.85" E
TSN26,10° 44' 10.26" N,106° 25' 22.20" E
TSN27,11° 01' 49.99" N,106° 44' 31.49" E
TSN29,10° 54' 42.34" N,106° 25' 43.53" E
TSN30,10° 41' 33.40" N,106° 48' 20.75" E
TSN31,10° 40' 17.12" N,106° 33' 39.37" E
TSN35,10° 39' 06.19" N,106° 31' 44.37" E
TSN36,10° 34' 54.74" N,106° 38' 44.07" E
TSN40,10° 50' 25.54" N,106° 42' 31.76" E
TSN41,10° 50' 27.70" N,106° 42' 37.46" E
TSN42,10° 43' 19.18" N,106° 27' 57.85" E
TSN51,10° 40' 17.12" N,106° 43' 48.77" E
TSN52,10° 47' 14.33" N,106° 48' 44.44" E
TSN62,10° 47' 18.19" N,106° 26' 39.15" E
TSN76,10° 50' 02.04" N,106° 28' 37.28" E
TSN80,10° 49' 43.32" N,106° 40' 23.52" E
TSN98,10° 53' 03.19" N,106° 49' 06.61" E
VEPAM,13° 58' 0.00" N,110° 0' 0.00" E
VINHA,20° 58' 58.29" N,105° 09' 55.70" E
VITRA,20° 35' 17.42" N,106° 05' 22.49" E
XONAN,9° 14' 42.00" N,102° 50' 18.00" E
XONUS,18° 4' 12.00" N,107° 13' 59.00" E
ADBOP,8° 30' 0.00" N,104° 5' 0.00" E
ANHOA,9° 47' 14.00" N,105° 54' 30.00" E
ARESI,13° 58' 24.00" N,114° 27' 0.00" E
CONDA,8° 57' 26.00" N,106° 28' 29.00" E
DADEM,10° 53' 44.00" N,105° 13' 41.00" E
EGEMU,17° 0' 0.00" N,112° 17' 0.00" E
GONLY,13° 40' 0.00" N,107° 30' 0.00" E
IDOTA,18° 41' 36.00" N,105° 8' 22.00" E
IGARI,6° 56' 12.00" N,103° 35' 6.00" E
KADIM,18° 39' 8.00" N,106° 5' 52.00" E
KAMSU,18° 15' 13.00" N,106° 5' 36.00" E
KATBO,23° 21' 36.00" N,105° 17' 30.00" E
KISAN,10° 32' 20.00" N,104° 40' 30.00" E
LADON,21° 6' 13.00" N,102° 58' 1.00" E
LAVAN,14° 10' 30.00" N,105° 41' 30.00" E
LITAM,8° 59' 37.00" N,106° 42' 6.00" E
MULAD,12° 32' 53.00" N,107° 34' 29.00" E
NALAO,19° 19' 27.00" N,103° 55' 35.00" E
NITOM,12° 44' 31.00" N,110° 38' 25.00" E
NOBOK,20° 37' 20.00" N,102° 38' 26.00" E
NUMDI,10° 26' 43.00" N,103° 46' 35.00" E
OSOTA,10° 33' 7.00" N,104° 15' 49.00" E
PANDI,11° 38' 6.00" N,114° 0' 0.00" E
PAPRA,15° 46' 0.00" N,107° 11' 0.00" E
PHUTA,20° 55' 42.00" N,106° 27' 50.00" E
POPET,11° 6' 0.00" N,105° 57' 0.00" E
POTIX,10° 14' 5.00" N,105° 37' 0.00" E
SOSPA,11° 50' 2.00" N,108° 38' 27.00" E
TORED,16° 27' 49.00" N,106° 40' 32.00" E
TUNPO,10° 3' 44.00" N,104° 35' 22.00" E
VANUC,20° 32' 55.00" N,106° 43' 18.00" E
VILAO,17° 22' 0.00" N,106° 5' 0.00" E
VIMBU,10° 24' 33.00" N,105° 30' 52.00" E
